,datetime(yyyy-mm-dd hh),co2_flow(l),Amstel_Utra_tot_volume(l),Amstel_Utra_age_volume(days*l),Carta_Blanca_tot_volume(l),Carta_Blanca_age_volume(days*l),Coors_Light_tot_volume(l),Coors_Light_age_volume(days*l),Miller_tot_volume(l),Miller_age_volume(days*l),Sol_tot_volume(l),Sol_age_volume(days*l),Tecate_tot_volume(l),Tecate_age_volume(days*l),Tecate_Light_tot_volume(l),Tecate_Light_age_volume(days*l),RIZZOS_tot_volume(l),RIZZOS_age_volume(days*l),Bohemia_tot_volume(l),Bohemia_age_volume(days*l),Noche_Buena_tot_volume(l),Noche_Buena_age_volume(days*l)
23,2022-08-09 14,9089.080078125,4100.0,2733.333333333333,13600.0,874933.3333333333,8900.0,23600.0,6800.0,2550.0,27200.0,892216.6666666666,13600.0,28050.0,28100.0,801475.0000000001,0.0,0.0,0.0,0.0,0.0,0.0
24,2022-08-09 15,278675.24560546875,4100.0,2904.166666666667,13600.0,875500.0,8900.0,23970.833333333332,6800.0,2833.3333333333335,27200.0,893350.0,13600.0,28616.666666666668,28100.0,802645.8333333333,0.0,0.0,0.0,0.0,0.0,0.0
25,2022-08-09 16,335460.9396972656,4100.0,3075.0,13600.0,876066.6666666667,8900.0,24341.666666666668,6800.0,3116.6666666666665,20400.0,864166.6666666667,13600.0,29183.333333333332,28100.0,803816.6666666667,0.0,0.0,0.0,0.0,0.0,0.0
26,2022-08-09 17,281976.7897949219,4100.0,3245.833333333333,13600.0,876633.3333333333,8900.0,24712.5,6800.0,3400.0,20400.0,865016.6666666666,13600.0,29750.0,28100.0,804987.5000000001,0.0,0.0,0.0,0.0,0.0,0.0
27,2022-08-09 18,379960.48583984375,4100.0,3416.666666666667,13600.0,877200.0,8900.0,25083.333333333332,6800.0,3683.333333333333,20400.0,865866.6666666666,13600.0,30316.666666666668,28100.0,806158.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
28,2022-08-09 19,347619.17431640625,4100.0,3587.5,13600.0,877766.6666666667,8900.0,25454.166666666668,6800.0,3966.666666666667,20400.0,866716.6666666667,13600.0,30883.333333333332,28100.0,807329.1666666667,0.0,0.0,0.0,0.0,0.0,0.0
29,2022-08-09 20,391965.7783203125,4100.0,3758.333333333333,13600.0,878333.3333333333,8900.0,25825.0,6800.0,4250.0,20400.0,867566.6666666666,13600.0,31450.0,28100.0,808500.0000000001,0.0,0.0,0.0,0.0,0.0,0.0
30,2022-08-09 21,317974.791015625,4100.0,3929.166666666667,13600.0,878900.0,8900.0,26195.833333333332,6800.0,4533.333333333333,20400.0,868416.6666666666,13600.0,32016.666666666664,28100.0,809670.8333333333,0.0,0.0,0.0,0.0,0.0,0.0
31,2022-08-09 22,407837.9052734375,4100.0,4100.0,13600.0,879466.6666666667,8900.0,26566.666666666668,6800.0,4816.666666666667,20400.0,869266.6666666667,13600.0,32583.333333333332,28100.0,810841.6666666667,0.0,0.0,0.0,0.0,0.0,0.0
32,2022-08-09 23,400676.2805175781,4100.0,4270.833333333334,13600.0,880033.3333333333,8900.0,26937.5,6800.0,5100.0,20400.0,870116.6666666666,13600.0,33150.0,28100.0,812012.5000000001,0.0,0.0,0.0,0.0,0.0,0.0
33,2022-08-10 00,391189.15478515625,4100.0,4441.666666666666,13600.0,880600.0,8900.0,27308.333333333332,6800.0,5383.333333333333,20400.0,870966.6666666666,13600.0,33716.666666666664,28100.0,813183.3333333333,0.0,0.0,0.0,0.0,0.0,0.0
34,2022-08-10 01,399644.62353515625,4100.0,4612.5,13600.0,881166.6666666667,8900.0,27679.166666666668,6800.0,5666.666666666667,20400.0,871816.6666666667,13600.0,34283.33333333333,28100.0,814354.1666666667,0.0,0.0,0.0,0.0,0.0,0.0
35,2022-08-10 02,358001.30322265625,4100.0,4783.333333333334,13600.0,881733.3333333333,8900.0,28050.0,6800.0,5950.0,20400.0,872666.6666666666,13600.0,34850.0,28100.0,815525.0000000001,0.0,0.0,0.0,0.0,0.0,0.0
